accession	organism	host	generalization	year	miss_reason	sequencing_strat	notes		unique	count
GQ227670.1	Macaca fascicularis papillomavirus 11	Macaca fascicularis	Non-human Primate	2009	zero_hits					
GU014531.1	Macaca fascicularis papillomavirus 2	Macaca fascicularis	Non-human Primate	2011	zero_hits					
EF558839.2	Macaca fascicularis papillomavirus 3	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EF558841.1	Macaca fascicularis papillomavirus 4	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EF558843.1	Macaca fascicularis papillomavirus 5	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EF558840.1	Macaca fascicularis papillomavirus 6	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EF558838.1	Macaca fascicularis papillomavirus 7	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EF558842.1	Macaca fascicularis papillomavirus 8	Macaca fascicularis	Non-human Primate	2016	filter_fail					
EU490516.1	Macaca fascicularis papillomavirus 9	Macaca fascicularis	Non-human Primate	2016	filter_fail					
KT944080.1	Macaca fuscata papillomavirus 1	Macaca fuscata (Japanese macaque)	Non-human Primate	2016	filter_fail					
MH469677.1	Macaca fuscata papillomavirus 2	Macaca fuscata (Japanese macaque)	Non-human Primate	2019	filter_fail					
MH745749.1	Macaca mulatta papillomavirus 7	Macaca mulatta	Non-human Primate	2018	filter_fail					
JF304764.1	Papio hamadryas papillomavirus 1	Papio hamadryas (baboon monkey)	Non-human Primate	2012	filter_fail					
EF591300.1	Rhesus papillomavirus 1b	Macaca mulatta	Non-human Primate	2016	filter_fail					
JF304765.1	Saimiri sciureus papillomavirus 1	Saimiri sciureus (squirrel monkey)	Non-human Primate	2014	filter_fail					
JF304766.1	Saimiri sciureus papillomavirus 2	Saimiri sciureus (squirrel monkey)	Non-human Primate	2014	filter_fail					
JF304767.1	Saimiri sciureus papillomavirus 3	Saimiri sciureus (squirrel monkey)	Non-human Primate	2014	filter_fail					
AY057109.1	Etapapillomavirus 1	Various (genus-level type species)	Other	2002	zero_hits					
MK124621.1	Tick-associated papillomavirus lsx	tick	Other	2019	filter_fail					
U83595.1	Ovine papillomavirus type 2	Ovis aries	Ovine	1997	zero_hits	Sanger 				
FJ796965.1	Ovis aries papillomavirus 3	sheep	Ovine	2010	zero_hits					
KX954121.1	Ovis aries papillomavirus type 4	Ovis aries	Ovine	2017	filter_fail					
BK062772.1	Manis javanica papillomavirus 1	Manis javanica	Panoglin	2022	filter_fail					
OR531434.1	Arctocephalus forsteri papillomavirus 1	Arctocephalus forsteri	Pinniped	2024	filter_fail	PCR				
MG571089.1	Leptonychotes weddellii papillomavirus 2	Leptonychotes weddellii	Pinniped	2018	filter_fail					
MG571093.1	Leptonychotes weddellii papillomavirus 3	Leptonychotes weddellii	Pinniped	2018	filter_fail					
MG571095.1	Leptonychotes weddellii papillomavirus 4	Leptonychotes weddellii	Pinniped	2018	zero_hits					
MG571094.1	Leptonychotes weddellii papillomavirus 5	Leptonychotes weddellii	Pinniped	2018	filter_fail					
