id,label,xref
DOID:4739,testicular Brenner tumor,UMLS_CUI:C1515281
DOID:474,histiocytoid hemangioma,MESH:D006391
DOID:474,histiocytoid hemangioma,NCI:C4298
DOID:474,histiocytoid hemangioma,SNOMEDCT_US_2023_03_01:253054009
DOID:474,histiocytoid hemangioma,UMLS_CUI:C0205788
DOID:4743,mixed testicular germ cell tumor,NCI:C6347
DOID:4743,mixed testicular germ cell tumor,UMLS_CUI:C1336720
DOID:4749,middle cranial fossa meningioma,NCI:C5586
DOID:4749,middle cranial fossa meningioma,UMLS_CUI:C1334757
DOID:4756,testicular Leydig cell tumor,NCI:C39942
DOID:4756,testicular Leydig cell tumor,NCI:C6356
DOID:4756,testicular Leydig cell tumor,SNOMEDCT_US_2023_03_01:67871000119105
DOID:4756,testicular Leydig cell tumor,UMLS_CUI:C0863027
DOID:4756,testicular Leydig cell tumor,UMLS_CUI:C1515288
DOID:4757,testicular sex cord-stromal neoplasm,NCI:C39948
DOID:4757,testicular sex cord-stromal neoplasm,UMLS_CUI:C1515289
DOID:476,breast hemangioma,NCI:C5353
DOID:476,breast hemangioma,UMLS_CUI:C0853715
DOID:4765,pulmonary blastoma,ICDO:8972/3
DOID:4765,pulmonary blastoma,MESH:D018202
DOID:4765,pulmonary blastoma,NCI:C3732
DOID:4765,pulmonary blastoma,SNOMEDCT_US_2023_03_01:189815007
DOID:4765,pulmonary blastoma,UMLS_CUI:C0206629
DOID:4766,embryoma,NCI:C8997
DOID:4766,embryoma,SNOMEDCT_US_2023_03_01:86049000
DOID:4766,embryoma,UMLS_CUI:C0936282
DOID:4767,classic pulmonary blastoma,NCI:C36054
DOID:4767,classic pulmonary blastoma,UMLS_CUI:C1332556
DOID:4768,epithelial predominant pulmonary blastoma,NCI:C36053
DOID:4768,epithelial predominant pulmonary blastoma,UMLS_CUI:C1333420
DOID:4769,pleuropulmonary blastoma,GARD:8757
DOID:4769,pleuropulmonary blastoma,ICDO:8973/3
DOID:4769,pleuropulmonary blastoma,MESH:C537516
DOID:4769,pleuropulmonary blastoma,NCI:C5669
DOID:4769,pleuropulmonary blastoma,ORDO:64742
DOID:4769,pleuropulmonary blastoma,SNOMEDCT_US_2023_03_01:707670009
DOID:4769,pleuropulmonary blastoma,UMLS_CUI:C1266144
DOID:4773,congenital mesoblastic nephroma,GARD:1493
DOID:4773,congenital mesoblastic nephroma,MESH:D018201
DOID:4773,congenital mesoblastic nephroma,NCI:C6569
DOID:4773,congenital mesoblastic nephroma,UMLS_CUI:C1332965
DOID:4787,cerebellopontine angle primitive neuroectodermal tumor,NCI:C5436
DOID:4787,cerebellopontine angle primitive neuroectodermal tumor,UMLS_CUI:C1332904
DOID:4788,intracranial primitive neuroectodermal tumor,NCI:C5817
DOID:4788,intracranial primitive neuroectodermal tumor,UMLS_CUI:C1334246
DOID:479,angiokeratoma,ICDO:9141/0
DOID:479,angiokeratoma,MESH:D000794
DOID:479,angiokeratoma,NCI:C2874
DOID:479,angiokeratoma,NCI:C4488
DOID:479,angiokeratoma,SNOMEDCT_US_2023_03_01:254788004
DOID:479,angiokeratoma,SNOMEDCT_US_2023_03_01:26810009
DOID:479,angiokeratoma,UMLS_CUI:C0002985
DOID:479,angiokeratoma,UMLS_CUI:C0346075
DOID:4790,medulloepithelioma,MESH:D018242
DOID:4790,medulloepithelioma,ICDO:9501/3
DOID:4790,medulloepithelioma,NCI:C66808
DOID:4790,medulloepithelioma,SNOMEDCT_US_2023_03_01:715903004
DOID:4790,medulloepithelioma,UMLS_CUI:C0334596
DOID:4791,supratentorial primitive neuroectodermal tumor,GARD:7366
DOID:4791,supratentorial primitive neuroectodermal tumor,NCI:C6968
DOID:4791,supratentorial primitive neuroectodermal tumor,SNOMEDCT_US_2023_03_01:699318007
DOID:4791,supratentorial primitive neuroectodermal tumor,UMLS_CUI:C1336538
DOID:4812,adult brainstem gliosarcoma,NCI:C9370
DOID:4812,adult brainstem gliosarcoma,UMLS_CUI:C1377914
DOID:4813,adult brain stem glioma,NCI:C9091
DOID:4813,adult brain stem glioma,UMLS_CUI:C0278873
DOID:4817,ganglioneuroma,MESH:D005729
DOID:4817,ganglioneuroma,ICDO:9490/0
DOID:4817,ganglioneuroma,NCI:C3049
DOID:4817,ganglioneuroma,NCI:C42065
DOID:4817,ganglioneuroma,SNOMEDCT_US_2023_03_01:189929007
