"acc","librarysource"
"SRR10009759","GENOMIC"
"SRR27078481","METAGENOMIC"
"SRR15442957","METAGENOMIC"
"DRR013327","GENOMIC"
"SRR25288812","VIRAL RNA"
"SRR4003637","GENOMIC"
"DRR013318","GENOMIC"
"SRR27078767","METAGENOMIC"
"SRR15442658","METAGENOMIC"
"SRR12709097","GENOMIC"
"SRR12709472","GENOMIC"
"SRR15442834","METAGENOMIC"
"SRR20744551","METAGENOMIC"
"SRR12709459","GENOMIC"
"SRR25288693","VIRAL RNA"
"SRR23759437","TRANSCRIPTOMIC"
"SRR1611119","GENOMIC"
"SRR5904123","TRANSCRIPTOMIC"
"SRR25288749","VIRAL RNA"
"DRR197463","GENOMIC"
"DRR197440","GENOMIC"
"SRR4003606","GENOMIC"
"DRR125355","GENOMIC"
"SRR15442468","METAGENOMIC"
"SRR22537669","GENOMIC"
"SRR12709743","GENOMIC"
"SRR4003724","GENOMIC"
"SRR25288506","VIRAL RNA"
"SRR22765725","GENOMIC"
"DRR125306","GENOMIC"
"DRR125343","GENOMIC"
"SRR13434114","TRANSCRIPTOMIC"
"SRR27078773","METAGENOMIC"
"SRR12709695","GENOMIC"
"SRR25288734","VIRAL RNA"
"DRR125244","GENOMIC"
"SRR25256522","GENOMIC"
"SRR20992722","TRANSCRIPTOMIC"
"SRR15442827","METAGENOMIC"
"SRR1611023","GENOMIC"
"SRR6976437","GENOMIC"
"DRR125299","GENOMIC"
"SRR12709902","GENOMIC"
"SRR4003650","GENOMIC"
"SRR27078917","METAGENOMIC"
"SRR1647372","METAGENOMIC"
"SRR17422888","TRANSCRIPTOMIC"
"SRR5761985","GENOMIC"
"SRR13289358","GENOMIC"
"SRR27078870","METAGENOMIC"
"SRR22537666","GENOMIC"
"SRR15442758","METAGENOMIC"
"SRR22672230","TRANSCRIPTOMIC SINGLE CELL"
"SRR25288782","VIRAL RNA"
"SRR22765706","GENOMIC"
"SRR15442822","METAGENOMIC"
"DRR125258","GENOMIC"
"SRR18484206","GENOMIC"
"SRR27078683","METAGENOMIC"
"SRR25661111","GENOMIC"
"SRR17383003","TRANSCRIPTOMIC"
"SRR12710006","GENOMIC"
"SRR25288772","VIRAL RNA"
"SRR22765732","GENOMIC"
"SRR16368190","GENOMIC"
