accession	presumed_host
GU117623-1_72_1256_1	Phocoena phocoena
MG744508-1_78_1256_1	Tursiops truncatus
JQ814847-1_57_1235_1	Myotis ricketti
OR952879-1_45_1223_1	Tylonycteris robustula
BK066355-1_237_1415_1	Rhinolophidae
KP861980-1_204_1382_1	Alouatta guariba clamitans
JF304766-1_138_1316_1	Saimiri sciureus
JF304765-1_117_1295_1	Saimiri sciureus
JF304767-1_189_1367_1	Saimiri sciureus
MG837557-1_60_1229_1	Macaca mulatta
MH745748-1_432_1601_1	Macaca mulatta
KT944080-1_147_1316_1	Macaca fuscata
JF304764-1_126_1292_1	Papio hamadryas
GU014532-1_402_1586_1	Colobus guereza
MG837558-1_156_1343_1	Macaca mulatta
MH469677-1_225_1409_1	Macaca fuscata
BK066654-1_117_1301_1	Canis lupus familiaris
BK066488-1_150_1340_1	Canis lupus familiaris
BK066791-1_117_1295_1	Canis lupus familiaris
BK066742-1_150_1337_1	Canis lupus familiaris
MG571092-1_222_1418_1	Leptonychotes weddellii
MG571091-1_240_1433_1	Leptonychotes weddellii
AY609301-1_81_1277_1	Trichechus manatus latirostris
JN709473-1_135_1319_1	Trichechus manatus latirostris
JQ814848-1_252_1436_1	Miniopterus schreibersii
OR952874-1_45_1235_1	Tylonycteris robustula
OR952776-1_150_1337_1	Scotophilus kuhlii
OR952824-1_120_1304_1	Scotophilus kuhlii
OR952925-1_57_1235_1	Ia io
OR952810-1_36_1220_1	Tylonycteris pachypus
OR952813-1_60_1244_1	Tylonycteris pachypus
OR952809-1_60_1244_1	Tylonycteris pachypus
KC858264-1_57_1247_1	Eptesicus serotinus
OR952895-1_120_1310_1	Ia io
